sistema,nombre,same_as_wikidata_nombre,nombre-uri,linea,linea-uri,linea-cdmx,same_as_wikidata_linea,est,cve-est,tipo,tipo-uri,alcaldia-1,same_as_wikidata_alcaldia-1,alcaldia-2,same_as_wikidata_alcaldia-2,alcaldias-uri,año
STC Metro,Pantitlán,https://www.wikidata.org/entity/Q3352997,pantitlan,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,01,STC0101,Terminal / Transbordo,terminal-transbordo,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1984
STC Metro,Zaragoza,https://www.wikidata.org/entity/Q3356989,zaragoza,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,02,STC0102,Intermedia,intermedia,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1969
STC Metro,Gómez Farías,https://www.wikidata.org/entity/Q3356988,gomez-farias,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,03,STC0103,Intermedia,intermedia,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1969
STC Metro,Boulevard Puerto Aéreo,https://www.wikidata.org/entity/Q2630441,boulevard-puerto-aereo,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,04,STC0104,Intermedia,intermedia,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1969
STC Metro,Balbuena,https://www.wikidata.org/entity/Q3356881,balbuena,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,05,STC0105,Intermedia,intermedia,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1969
STC Metro,Moctezuma,https://www.wikidata.org/entity/Q3357017,moctezuma,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,06,STC0106,Intermedia,intermedia,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1969
STC Metro,San Lázaro,https://www.wikidata.org/entity/Q3356984,san-lazaro,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,07,STC0107,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1969
STC Metro,Candelaria,https://www.wikidata.org/entity/Q2936246,candelaria,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,08,STC0108,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1969
STC Metro,Merced,https://www.wikidata.org/entity/Q3356980,merced,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,09,STC0109,Intermedia,intermedia,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1969
STC Metro,Pino Suárez,https://www.wikidata.org/entity/Q3357008,pino-suarez,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,10,STC0110,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Isabel la Católica,https://www.wikidata.org/entity/Q3356870,isabel-la-catolica,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,11,STC0111,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Salto del Agua,https://www.wikidata.org/entity/Q740243,salto-del-agua,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,12,STC0112,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Balderas,https://www.wikidata.org/entity/Q3356947,balderas,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,13,STC0113,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Cuauhtémoc,https://www.wikidata.org/entity/Q3356912,cuauhtemoc,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,14,STC0114,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Insurgentes,https://www.wikidata.org/entity/Q3301776,insurgentes,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,15,STC0115,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Sevilla,https://www.wikidata.org/entity/Q2056503,sevilla,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,16,STC0116,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Chapultepec,https://www.wikidata.org/entity/Q3357035,chapultepec,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,17,STC0117,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,Miguel Hidalgo,,cuauhtemoc;miguel-hidalgo,1969
STC Metro,Juanacatlán,https://www.wikidata.org/entity/Q3356938,juanacatlan,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,18,STC0118,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Tacubaya,https://www.wikidata.org/entity/Q2744158,tacubaya,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,19,STC0119,Intermedia / Transbordo,intermedia-transbordo,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Observatorio,https://www.wikidata.org/entity/Q388460,observatorio,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,20,STC0120,Terminal,terminal,Álvaro Obregón,https://wikidata.org/entity/Q14906254,,,alvaro-obregon,1972
STC Metro,Cuatro Caminos,https://www.wikidata.org/entity/Q3356908,cuatro-caminos,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,01,STC0201,Terminal,terminal,state of Mexico,https://wikidata.org/entity/Q15149663,Naucalpan de Juárez,https://wikidata.org/entity/Q2276224,estado-de-mexico-naucalpan-de-juarez,1984
STC Metro,Panteones,https://www.wikidata.org/entity/Q3357000,panteones,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,02,STC0202,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1984
STC Metro,Tacuba,https://www.wikidata.org/entity/Q3356901,tacuba,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,03,STC0203,Intermedia / Transbordo,intermedia-transbordo,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Cuitláhuac,https://www.wikidata.org/entity/Q3357029,cuitlahuac,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,04,STC0204,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Popotla,https://www.wikidata.org/entity/Q3356929,popotla,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,05,STC0205,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Colegio Militar,https://www.wikidata.org/entity/Q3356873,colegio-militar,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,06,STC0206,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Normal,https://www.wikidata.org/entity/Q3356995,normal,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,07,STC0207,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,San Cosme,https://www.wikidata.org/entity/Q3356972,san-cosme,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,08,STC0208,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Revolución,https://www.wikidata.org/entity/Q3357042,revolucion,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,09,STC0209,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Hidalgo,https://www.wikidata.org/entity/Q2541914,hidalgo,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,10,STC0210,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Bellas Artes,https://www.wikidata.org/entity/Q2541953,bellas-artes,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,11,STC0211,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Allende,https://www.wikidata.org/entity/Q3287760,allende,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,12,STC0212,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Zócalo/Tenochtitlan,https://www.wikidata.org/entity/Q3356920,zocalo,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,13,STC0213,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Pino Suárez,https://www.wikidata.org/entity/Q3357008,pino-suarez,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,14,STC0214,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,San Antonio Abad,https://www.wikidata.org/entity/Q3356897,san-antonio-abad,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,15,STC0215,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Chabacano,https://www.wikidata.org/entity/Q3317707,chabacano,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,16,STC0216,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Viaducto,https://www.wikidata.org/entity/Q3357024,viaducto,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,17,STC0217,Intermedia,intermedia,Benito Juárez,https://wikidata.org/entity/Q2356998,Iztacalco,,benito-juarez;iztacalco,1970
STC Metro,Xola,https://www.wikidata.org/entity/Q3356924,xola,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,18,STC0218,Intermedia,intermedia,Benito Juárez,https://wikidata.org/entity/Q2356998,,,benito-juarez,1970
